id,code,number,name,parent_id/id,type,nature,active
acc_sat.account_sat_v2_001,,000-000-000,Company,,view,D,True
acc_sat.account_sat_v2_002,100,000-000-001,Activo ,acc_sat.account_sat_v2_001,view,D,True
acc_sat.account_sat_v2_003,100.01,000-100-000,Activo a corto plazo,acc_sat.account_sat_v2_002,view,D,True
acc_sat.account_sat_v2_004,101,101-000-000,Caja,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_005,101.01,101-100-000,Caja y efectivo,acc_sat.account_sat_v2_004,other,D,True
acc_sat.account_sat_v2_006,102,102-000-000,Bancos,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_007,102.01,102-100-000,Bancos nacionales,acc_sat.account_sat_v2_006,other,D,True
acc_sat.account_sat_v2_008,102.02,102-200-000,Bancos extranjeros,acc_sat.account_sat_v2_006,other,D,True
acc_sat.account_sat_v2_009,103,103-000-000,Inversiones,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_010,103.01,103-100-001,Inversiones temporales,acc_sat.account_sat_v2_009,other,D,True
acc_sat.account_sat_v2_011,103.02,103-100-002,Inversiones en fideicomisos,acc_sat.account_sat_v2_009,other,D,True
acc_sat.account_sat_v2_012,103.03,103-100-003,Otras inversiones,acc_sat.account_sat_v2_009,other,D,True
acc_sat.account_sat_v2_013,104,104-000-000,Otros instrumentos financieros,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_014,104.01,104-100-001,Otros instrumentos financieros,acc_sat.account_sat_v2_013,other,D,True
acc_sat.account_sat_v2_015,105,105-000-000,Clientes,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_016,105.01,105-100-001,Clientes nacionales,acc_sat.account_sat_v2_015,other,D,True
acc_sat.account_sat_v2_017,105.02,105-100-002,Clientes extranjeros,acc_sat.account_sat_v2_015,other,D,True
acc_sat.account_sat_v2_018,105.03,105-100-003,Clientes nacionales parte relacionada,acc_sat.account_sat_v2_015,other,D,True
acc_sat.account_sat_v2_019,105.04,105-100-004,Clientes extranjeros parte relacionada,acc_sat.account_sat_v2_015,other,D,True
acc_sat.account_sat_v2_020,106,106-000-000,Cuentas y documentos por cobrar a corto plazo,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_021,106.01,106-100-001,Cuentas y documentos por cobrar a corto plazo nacional,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_022,106.02,106-100-002,Cuentas y documentos por cobrar a corto plazo extranjero,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_023,106.03,106-100-003,Cuentas y documentos por cobrar a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_024,106.04,106-100-004,Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_025,106.05,106-100-005,Intereses por cobrar a corto plazo nacional ,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_026,106.06,106-100-006,Intereses por cobrar a corto plazo extranjero,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_027,106.07,106-100-007,Intereses por cobrar a corto plazo nacional parte relacionada,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_028,106.08,106-100-008,Intereses por cobrar a corto plazo extranjero parte relacionada,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_029,106.09,106-100-009,Otras cuentas y documentos por cobrar a corto plazo,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_030,106.10,106-100-010,Otras cuentas y documentos por cobrar a corto plazo parte relacionada,acc_sat.account_sat_v2_020,other,D,True
acc_sat.account_sat_v2_031,107,107-000-000,Deudores diversos,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_032,107.01,107-100-001,Funcionarios y empleados,acc_sat.account_sat_v2_031,other,D,True
acc_sat.account_sat_v2_033,107.02,107-100-002,Socios y accionistas,acc_sat.account_sat_v2_031,other,D,True
acc_sat.account_sat_v2_034,107.03,107-100-003,Partes relacionadas nacionales,acc_sat.account_sat_v2_031,other,D,True
acc_sat.account_sat_v2_035,107.04,107-100-004,Partes relacionadas extranjeros,acc_sat.account_sat_v2_031,other,D,True
acc_sat.account_sat_v2_036,107.05,107-100-005,Otros deudores diversos,acc_sat.account_sat_v2_031,other,D,True
acc_sat.account_sat_v2_037,108,108-000-000,Estimacion de cuentas incobrables,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_038,108.01,108-100-001,Estimacion de cuentas incobrables nacional,acc_sat.account_sat_v2_037,other,D,True
acc_sat.account_sat_v2_039,108.02,108-100-002,Estimacion de cuentas incobrables extranjero,acc_sat.account_sat_v2_037,other,D,True
acc_sat.account_sat_v2_040,108.03,108-100-003,Estimacion de cuentas incobrables nacional parte relacionada,acc_sat.account_sat_v2_037,other,D,True
acc_sat.account_sat_v2_041,108.04,108-100-004,Estimacion de cuentas incobrables extranjero parte relacionada,acc_sat.account_sat_v2_037,other,D,True
acc_sat.account_sat_v2_042,109,109-000-000,Pagos anticipados,acc_sat.account_sat_v2_003,view,D,True
acc_sat.account_sat_v2_043,109.01,109-100-001,Seguros y fianzas pagados por anticipado nacional,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_044,109.02,109-100-002,Seguros y fianzas pagados por anticipado extranjero,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_045,109.03,109-100-003,Seguros y fianzas pagados por anticipado nacional parte relacionada,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_046,109.04,109-100-004,Seguros y fianzas pagados por anticipado extranjero parte relacionada,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_047,109.05,109-100-005,Rentas pagados por anticipado nacional,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_048,109.06,109-100-006,Rentas pagados por anticipado extranjero,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_049,109.07,109-100-007,Rentas pagados por anticipado nacional parte relacionada,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_050,109.08,109-100-008,Rentas pagados por anticipado extranjero parte relacionada,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_051,109.09,109-100-009,Intereses pagados por anticipado nacional,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_052,109.10,109-100-010,Intereses pagados por anticipado extranjero,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_053,109.11,109-100-011,Intereses pagados por anticipado nacional parte relacionada,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_054,109.12,109-100-012,Intereses pagados por anticipado extranjero parte relacionada,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_055,109.13,109-100-013,Factoraje financiero pagados por anticipado nacional,acc_sat.account_sat_v2_042,other,D,True
acc_sat.account_sat_v2_056,109.14,109-100-014,Factoraje financiero pagados por anticipado extranjero,acc_sat.account_sat_v2_042,other,D,True
