id,code,number,name,parent_id/id,type,active
account_sat.account_sat_001,,000-000-000,Company,,view,True
account_sat.account_sat_002,,000-100-000,Activo,account_sat.account_sat_001,view,True
account_sat.account_sat_003,,100-000-100,Activos Circulantes,account_sat.account_sat_002,view,True
account_sat.account_sat_004,1,100-100-000, Caja,account_sat.account_sat_003,view,True
account_sat.account_sat_005,1.1,100-100-001,Caja y efectivo,account_sat.account_sat_004,other,True
account_sat.account_sat_006,2,101-000-000, Bancos,account_sat.account_sat_003,view,True
account_sat.account_sat_007,2.1,101-100-000,Bancos nacionales,account_sat.account_sat_006,other,True
account_sat.account_sat_008,2.2,101-200-000,Bancos extranjeros,account_sat.account_sat_006,other,True
account_sat.account_sat_009,3,102-000-000,Inversiones,account_sat.account_sat_003,view,True
account_sat.account_sat_010,3.1,102-100-001,Inversiones en Valores,account_sat.account_sat_009,other,True
account_sat.account_sat_011,3.2,102-100-002,Inversiones temporales,account_sat.account_sat_009,other,True
account_sat.account_sat_012,4,103-000-000,Clientes,account_sat.account_sat_003,view,True
account_sat.account_sat_013,4.1,103-100-001,Clientes nacionales,account_sat.account_sat_012,other,True
account_sat.account_sat_014,4.2,103-100-002,Clientes extranjeros,account_sat.account_sat_012,other,True
account_sat.account_sat_015,4.3,103-100-003,Partes relacionadas,account_sat.account_sat_012,other,True
account_sat.account_sat_016,5,104-000-000,Cuentas por Cobrar,account_sat.account_sat_003,view,True
account_sat.account_sat_017,5.1,104-100-001,Documentos por Cobrar corto plazo,account_sat.account_sat_016,other,True
account_sat.account_sat_018,5.2,104-100-002,Partes relacionadas,account_sat.account_sat_016,other,True
account_sat.account_sat_019,5.3,104-100-003,Intereses por cobrar,account_sat.account_sat_016,other,True
account_sat.account_sat_020,6,105-000-000,Títulos de crédito,account_sat.account_sat_003,view,True
account_sat.account_sat_021,6.1,105-100-001,Títulos de crédito,account_sat.account_sat_020,other,True
account_sat.account_sat_022,7,106-000-000,Créditos otorgados,account_sat.account_sat_003,view,True
account_sat.account_sat_023,7.1,106-100-001,Créditos otorgados,account_sat.account_sat_022,other,True
account_sat.account_sat_024,8,107-000-000,Deudores diversos,account_sat.account_sat_003,view,True
account_sat.account_sat_025,8.1,107-100-001,Funcionarios y Empleados,account_sat.account_sat_024,other,True
account_sat.account_sat_026,8.2,107-100-002,Socios y accionistas,account_sat.account_sat_024,other,True
account_sat.account_sat_027,8.3,107-100-003,Partes relacionadas,account_sat.account_sat_024,other,True
account_sat.account_sat_028,8.4,107-100-004,Otros deudores diversos,account_sat.account_sat_024,other,True
account_sat.account_sat_029,9,108-000-000,Estimación de Cuentas Incobrables,account_sat.account_sat_003,view,True
account_sat.account_sat_030,9.1,108-100-001,Estimación de Cuentas Incobrables,account_sat.account_sat_029,other,True
account_sat.account_sat_031,10,109-000-000,Pagos Anticipados,account_sat.account_sat_003,view,True
account_sat.account_sat_032,10.1,109-100-001,Seguros y Fianzas Pagadas por Anticipado,account_sat.account_sat_031,other,True
account_sat.account_sat_033,10.2,109-100-002,Rentas Pagadas por Anticipado,account_sat.account_sat_031,other,True
account_sat.account_sat_034,10.3,109-100-003,Intereses Pagados por Anticipado,account_sat.account_sat_031,other,True
account_sat.account_sat_035,10.4,109-100-004,Otros pagos anticipados,account_sat.account_sat_031,other,True
account_sat.account_sat_036,11,110-000-000,Impuestos a favor,account_sat.account_sat_003,view,True
account_sat.account_sat_037,11.1,110-100-001,IVA a favor,account_sat.account_sat_036,other,True
account_sat.account_sat_038,11.2,110-100-002,ISR a favor,account_sat.account_sat_036,other,True
account_sat.account_sat_039,11.3,110-100-003,IETU a favor,account_sat.account_sat_036,other,True
account_sat.account_sat_040,11.4,110-100-004,IDE a favor,account_sat.account_sat_036,other,True
account_sat.account_sat_041,11.5,110-100-005,IA a favor,account_sat.account_sat_036,other,True
account_sat.account_sat_042,11.6,110-100-006,Otros impuestos a favor,account_sat.account_sat_036,other,True
account_sat.account_sat_043,12,111-000-000,Pagos provisionales,account_sat.account_sat_003,view,True
account_sat.account_sat_044,12.1,111-100-001,Pagos provisionales de ISR,account_sat.account_sat_043,other,True
account_sat.account_sat_045,13,112-000-000,Inventarios,account_sat.account_sat_003,view,True
